Instance,Objective_value,Run_time,Solution_status,Opt_gap,num_off_lines,off_lines,num_off_lines_leaf,off_lines_leaf,,,,,,,,,,
pglib_opf_case14_ieee__api,5691.798989,0.265930076,OPTIMAL,4.62E-05,0,Any[],0,Any[],,,,,,,,,,
pglib_opf_case24_ieee_rts__api,115616.5387,4.1603433,OPTIMAL,0,3,"Any[(19, 20), (17, 18), (4, 9)]",0,Any[],,,,,,,,,,
pglib_opf_case30_as__api,2767.848934,3.435319281,OPTIMAL,7.99E-05,0,Any[],0,Any[],,,,,,,,,,
pglib_opf_case30_ieee__api,17060.27749,0.863473352,OPTIMAL,8.32E-05,0,Any[],0,Any[],,,,,,,,,,
pglib_opf_case39_epri__api,245448.8054,0.750045552,OPTIMAL,4.73E-05,0,Any[],0,Any[],,,,,,,,,,
pglib_opf_case57_ieee__api,49245.47195,12.62922707,OPTIMAL,8.85E-05,2,"Any[(13, 14), (40, 56)]",0,Any[],,,,,,,,,,
pglib_opf_case73_ieee_rts__api,375956.9541,3869.928704,OPTIMAL,5.42E-05,6,"Any[(19, 20), (42, 45), (49, 50), (18, 21), (1, 2), (65, 66)]",0,Any[],,,,,,,,,,
pglib_opf_case89_pegase__api,100101.7919,7200.271257,TIME_LIMIT,0.000574432,47,"Any[(66, 47), (61, 67), (55, 81), (38, 30), (5, 38), (35, 30), (87, 89), (21, 63), (38, 63), (63, 74), (42, 61), (12, 89), (21, 61), (38, 61), (61, 33), (63, 67), (38, 19), (35, 41), (35, 23), (35, 61), (63, 35), (36, 30), (11, 5), (35, 19), (18, 30), (18, 57), (38, 67), (74, 30), (41, 74), (35, 8), (21, 35), (36, 63), (70, 65), (11, 42), (76, 2), (5, 61), (35, 28), (42, 38), (32, 49), (36, 41), (36, 23), (23, 28), (36, 61), (71, 65), (36, 19), (53, 5), (74, 19)]",0,Any[],,,,,,,,,,
pglib_opf_case118_ieee__api,170291.7681,7200.622705,TIME_LIMIT,0.000146781,11,"Any[(55, 56), (49, 54), (56, 57), (62, 66), (80, 96), (40, 42), (62, 67), (19, 34), (15, 33), (55, 59), (51, 58)]",0,Any[],,,,,,,,,,
pglib_opf_case162_ieee_dtc__api,115728.1572,7200.529968,TIME_LIMIT,0.00086825,14,"Any[(8, 15), (27, 127), (72, 113), (21, 127), (10, 60), (113, 132), (3, 103), (16, 17), (8, 13), (14, 132), (3, 124), (14, 72), (65, 126), (60, 126)]",0,Any[],,,,,,,,,,
