Instance,Objective_value,Run_time,Solution_status,Opt_gap,num_off_lines,off_lines,num_off_lines_leaf,off_lines_leaf,,
pglib_opf_case3_lmbd__sad,5881.10216,0.06933434,OPTIMAL,0,0,Any[],0,Any[],1,
pglib_opf_case5_pjm__sad,25947.1526,0.15143148,OPTIMAL,0,0,Any[],0,Any[],2,
pglib_opf_case14_ieee__sad,2397.80879,2.54935308,OPTIMAL,0,2,"Any[(6, 11), (13, 14)]",0,Any[],3,
pglib_opf_case24_ieee_rts__sad,74233.0211,84.4111833,OPTIMAL,0,3,"Any[(1, 5), (16, 19), (15, 16)]",0,Any[],4,
pglib_opf_case30_as__sad,876.927193,45.3663777,OPTIMAL,0,2,"Any[(6, 10), (25, 27)]",0,Any[],5,
pglib_opf_case30_ieee__sad,7473.04754,5.62416312,OPTIMAL,6.57E-05,3,"Any[(6, 10), (24, 25), (2, 4)]",0,Any[],6,
pglib_opf_case39_epri__sad,147386.934,14.3907376,OPTIMAL,5.64E-07,4,"Any[(7, 8), (16, 17), (2, 25), (12, 11)]",0,Any[],7,
pglib_opf_case57_ieee__sad,38561.0337,148.334182,OPTIMAL,6.45E-05,6,"Any[(19, 20), (53, 54), (36, 40), (9, 12), (11, 13), (40, 56)]",0,Any[],8,
pglib_opf_case73_ieee_rts__sad,220352.633,7200.13492,TIME_LIMIT,0.00202641,7,"Any[(40, 43), (56, 57), (25, 26), (49, 50), (23, 41), (15, 16), (16, 19)]",0,Any[],9,
pglib_opf_case89_pegase__sad,NaN,7213.33095,TIME_LIMIT, , , , , ,10,
pglib_opf_case118_ieee__sad,96691.61327,6818.726121,OPTIMAL,9.15E-05,14,"Any[(55, 56), (17, 31), (47, 49), (46, 47), (15, 19), (27, 32), (103, 104), (17, 113), (15, 33), (59, 61), (35, 36), (59, 60), (34, 43), (49, 69)]",0,Any[],11,
pglib_opf_case162_ieee_dtc__sad,101911.438,7201.83974,TIME_LIMIT,0.00379449,21,"Any[(8, 15), (12, 13), (15, 60), (8, 12), (72, 113), (137, 140), (60, 62), (19, 38), (3, 103), (113, 134), (159, 160), (57, 80), (142, 143), (16, 17), (142, 146), (8, 13), (23, 60), (15, 63), (28, 29), (65, 126), (30, 32)]",0,Any[],12,
pglib_opf_case179_goc__sad,754404.129,7200.38111,TIME_LIMIT,0.00039746,19,"Any[(99, 100), (48, 60), (146, 145), (116, 134), (113, 137), (51, 52), (6, 4), (68, 74), (23, 44), (153, 154), (123, 131), (51, 58), (16, 17), (86, 60), (48, 141), (156, 152), (113, 121), (123, 139), (45, 99)]",0,Any[],13,
pglib_opf_case200_activ__sad,27556.733,1671.87281,OPTIMAL,9.99E-05,0,Any[],0,Any[],14,
pglib_opf_case240_pserc__sad,3.27E+06,7201.14291,TIME_LIMIT,0.00786988,28,"Any[(13, 77), (34, 78), (236, 239), (10, 77), (209, 211), (54, 222), (1, 10), (149, 238), (157, 158), (86, 87), (1, 11), (200, 201), (37, 44), (77, 78), (127, 129), (86, 150), (237, 238), (112, 127), (129, 235), (220, 226), (157, 169), (87, 88), (62, 65), (158, 195), (135, 146), (88, 94), (156, 169), (161, 164)]",1,"Any[(236, 239)]",15,
pglib_opf_case300_ieee__sad,554587.0825,7200.510844,TIME_LIMIT,0.027965239,25,"Any[(100, 124), (130, 131), (190, 191), (39, 77), (244, 256), (136, 155), (33, 39), (243, 244), (50, 51), (183, 184), (112, 135), (173, 111), (215, 51), (144, 148), (46, 57), (220, 197), (194, 14), (31, 78), (36, 58), (249, 11), (139, 140), (179, 184), (34, 39), (179, 188), (190, 202)]",0,Any[],16,tol: 1e-6
pglib_opf_case3_lmbd__api,10594.8765,0.12675465,OPTIMAL,0,1,"Any[(1, 2)]",0,Any[],18,
pglib_opf_case5_pjm__api,73255.4372,0.18828999,OPTIMAL,0,0,Any[],0,Any[],19,
pglib_opf_case14_ieee__api,5691.79904,1.24275495,OPTIMAL,9.55E-05,0,Any[],0,Any[],20,
pglib_opf_case24_ieee_rts__api,115624.9611,82.79779508,OPTIMAL,5.05E-05,3,"Any[(19, 20), (17, 18), (4, 9)]",0,Any[],21,tol: 1e-6
pglib_opf_case30_as__api,2768.02119,37.9850411,OPTIMAL,8.27E-05,0,Any[],0,Any[],22,
pglib_opf_case30_ieee__api,17060.2754,2.21612285,OPTIMAL,7.73E-05,0,Any[],0,Any[],23,
pglib_opf_case39_epri__api,245418.885,1.86045587,OPTIMAL,0,0,Any[],0,Any[],24,
pglib_opf_case57_ieee__api,49245.005,44.1208602,OPTIMAL,8.50E-05,5,"Any[(21, 22), (36, 40), (13, 14), (57, 56), (40, 56)]",0,Any[],25,
pglib_opf_case73_ieee_rts__api,378821.183,7200.17181,TIME_LIMIT,0.02728771,9,"Any[(19, 20), (42, 45), (18, 21), (15, 16), (66, 69), (1, 2), (39, 40), (28, 33), (27, 33)]",0,Any[],26,
pglib_opf_case89_pegase__api,NaN,7213.07168,TIME_LIMIT, , , , , ,27,
pglib_opf_case118_ieee__api,170294.395,7208.99631,TIME_LIMIT,0.00068087,4,"Any[(49, 54), (80, 96), (40, 42), (15, 33)]",0,Any[],28,
pglib_opf_case162_ieee_dtc__api,115767.411,7202.99033,TIME_LIMIT,0.00229083,0,Any[],0,Any[],29,
pglib_opf_case179_goc__api,1.82E+06,7200.54631,TIME_LIMIT,0.00014913,9,"Any[(133, 117), (40, 10), (7, 20), (113, 137), (8, 20), (6, 40), (3, 20), (113, 121), (3, 2)]",0,Any[],30,
pglib_opf_case200_activ__api,35693.8135,7200.23044,TIME_LIMIT,0.00037445,0,Any[],0,Any[],31,
pglib_opf_case240_pserc__api,4.61E+06,7200.65679,TIME_LIMIT,0.00048064,25,"Any[(87, 90), (34, 78), (10, 77), (209, 211), (149, 238), (77, 78), (34, 77), (127, 129), (138, 150), (55, 57), (4, 231), (157, 170), (39, 43), (114, 116), (159, 170), (65, 67), (55, 71), (112, 120), (101, 143), (86, 88), (236, 237), (161, 184), (236, 238), (4, 230), (177, 178)]",0,Any[],32,
pglib_opf_case300_ieee__api,679351.697,7200.62808,TIME_LIMIT,0.00031943,9,"Any[(208, 216), (22, 2), (109, 115), (28, 30), (105, 134), (293, 298), (27, 30), (155, 156), (228, 146)]",2,"Any[(228, 146), (155, 156)]",33,
pglib_opf_case3_lmbd,5755.97043,0.18701723,OPTIMAL,0,0,Any[],0,Any[],35,
pglib_opf_case5_pjm,15001.8552,0.23119147,OPTIMAL,4.96E-06,0,Any[],0,Any[],36,
pglib_opf_case14_ieee,2175.67053,1.49375326,OPTIMAL,3.31E-05,1,"Any[(12, 13)]",0,Any[],37,
pglib_opf_case24_ieee_rts,63344.577,310.560977,OPTIMAL,4.85E-05,0,Any[],0,Any[],38,
pglib_opf_case30_as,802.680229,446.963033,OPTIMAL,9.92E-05,0,Any[],0,Any[],39,
pglib_opf_case30_ieee,6676.185175,3.304360455,OPTIMAL,6.53E-05,1,"Any[(24, 25)]",0,Any[],40,tol: 1e-6
pglib_opf_case39_epri,137664.024,0.93266648,OPTIMAL,9.44E-05,0,Any[],0,Any[],41,
pglib_opf_case57_ieee,37522.2175,40.2692062,OPTIMAL,6.04E-05,4,"Any[(21, 20), (36, 40), (13, 14), (40, 56)]",0,Any[],42,
pglib_opf_case73_ieee_rts,189706.216,4876.15723,OPTIMAL,8.73E-05,0,Any[],0,Any[],43,
pglib_opf_case89_pegase,NaN,7213.44621,TIME_LIMIT, , , , , ,44,
pglib_opf_case118_ieee,96378.0206,1622.19509,OPTIMAL,6.01E-05,8,"Any[(47, 49), (46, 47), (103, 104), (71, 72), (62, 67), (77, 82), (23, 24), (49, 69)]",0,Any[],45,
pglib_opf_case162_ieee_dtc,101773.654,7201.61142,TIME_LIMIT,0.00239942,0,Any[],0,Any[],46,
pglib_opf_case179_goc,753134.385,175.248081,OPTIMAL,9.97E-05,0,Any[],0,Any[],47,
pglib_opf_case200_activ,27556.649,4398.64389,OPTIMAL,9.40E-05,0,Any[],0,Any[],48,
pglib_opf_case240_pserc,3.24E+06,7200.84452,TIME_LIMIT,0.00049379,17,"Any[(13, 77), (34, 78), (10, 77), (1, 10), (1, 2), (13, 14), (157, 158), (34, 77), (86, 150), (115, 116), (129, 235), (137, 150), (178, 183), (195, 196), (203, 204), (158, 195), (137, 236)]",0,Any[],49,
pglib_opf_case300_ieee,555480.1857,7201.264841,TIME_LIMIT,0.02996049,34,"Any[(7, 8), (99, 122), (194, 243), (100, 124), (130, 131), (132, 133), (39, 77), (190, 195), (136, 155), (295, 5), (99, 125), (33, 39), (50, 51), (183, 188), (173, 111), (136, 133), (173, 220), (108, 126), (31, 78), (2, 11), (35, 112), (139, 140), (179, 184), (104, 107), (111, 249), (34, 39), (179, 188), (13, 15), (295, 7), (7, 12), (10, 15), (151, 154), (173, 1), (36, 37)]",0,Any[],50,tol: 1e-6
,,,,,,,,,,
pglib_opf_case500_goc__sad,NaN,1073.453295,INFEASIBLE_OR_UNBOUNDED, , , , , ,15,
pglib_opf_case588_sdet__sad,NaN,10800.36061,TIME_LIMIT, , , , , ,16,
