Instance,Objective_value,Run_time,Solution_status,Opt_gap,num_off_lines,off_lines,num_off_lines_leaf,off_lines_leaf,,
pglib_opf_case793_goc__sad,NaN,7043.602845,INFEASIBLE_OR_UNBOUNDED, , , , , ,17,
pglib_opf_case1354_pegase__sad,1239701.21,10802.43634,TIME_LIMIT,0.002234345,0,Any[],0,Any[],18,
pglib_opf_case1888_rte__sad,NaN,10801.32583,TIME_LIMIT, , , , , ,19,
pglib_opf_case1951_rte__sad,NaN,10801.35428,TIME_LIMIT, , , , , ,20,
pglib_opf_case2000_goc__sad,979501.39,10801.96251,TIME_LIMIT,0.650852692,0,Any[],0,Any[],21,
pglib_opf_case2312_goc__sad,NaN,10800.96029,TIME_LIMIT, , , , , ,22,
pglib_opf_case500_goc__api,668617.89,9289.018756,OPTIMAL,0,0,Any[],0,Any[],39,
pglib_opf_case588_sdet__api,NaN,10800.5164,TIME_LIMIT, , , , , ,40,
pglib_opf_case793_goc__api,NaN,3440.4151,INFEASIBLE_OR_UNBOUNDED, , , , , ,41,
pglib_opf_case1354_pegase__api,1490268.61,10801.24406,TIME_LIMIT,0.000669282,0,Any[],0,Any[],42,
pglib_opf_case1888_rte__api,NaN,10801.52373,TIME_LIMIT, , , , , ,43,
pglib_opf_case1951_rte__api,NaN,10801.11244,TIME_LIMIT, , , , , ,44,
pglib_opf_case2000_goc__api,1438342.47,10801.73959,TIME_LIMIT,0.862457618,0,Any[],0,Any[],45,
pglib_opf_case2312_goc__api,NaN,2293.693771,INFEASIBLE_OR_UNBOUNDED, , , , , ,46,
pglib_opf_case500_goc,NaN,10807.54179,TIME_LIMIT, , , , , ,61,
pglib_opf_case588_sdet,NaN,10800.42155,TIME_LIMIT, , , , , ,62,
pglib_opf_case793_goc,NaN,284.7517305,INFEASIBLE_OR_UNBOUNDED, , , , , ,63,
pglib_opf_case1354_pegase,1239327.24,10801.18225,TIME_LIMIT,0.001285523,0,Any[],0,Any[],64,
pglib_opf_case1888_rte,NaN,10801.26199,TIME_LIMIT, , , , , ,65,
pglib_opf_case1951_rte,NaN,10801.16944,TIME_LIMIT, , , , , ,66,
pglib_opf_case2000_goc,NaN,10801.97761,TIME_LIMIT, , , , , ,67,
pglib_opf_case2312_goc,NaN,4288.106063,INFEASIBLE_OR_UNBOUNDED, , , , , ,68,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
