Instance,Objective_value,Run_time,Solution_status,Opt_gap,num_off_lines,off_lines,num_off_lines_leaf,off_lines_leaf,inst_ind
pglib_opf_case3_lmbd__sad,5881.202211,0.029526326,OPTIMAL,0,0,Any[],0,Any[],1
pglib_opf_case5_pjm__sad,25948.11,0.142496099,OPTIMAL,0,0,Any[],0,Any[],2
pglib_opf_case14_ieee__sad,2408.14,2.093911605,OPTIMAL,0.00005,3,"Any[(12, 13), (10, 11), (13, 14)]",0,Any[],3
pglib_opf_case24_ieee_rts__sad,75224.47,5.642927466,OPTIMAL,0.00008,0,Any[],0,Any[],4
pglib_opf_case30_as__sad,877.1,17.64806396,OPTIMAL,0.00004,0,Any[],0,Any[],5
pglib_opf_case30_ieee__sad,7739.24,4.198736001,OPTIMAL,0.00008,1,"Any[(9, 10)]",0,Any[],6
pglib_opf_case39_epri__sad,148001.26,1.52005723,OPTIMAL,0,1,"Any[(7, 8)]",0,Any[],7
pglib_opf_case57_ieee__sad,38567.85,27.38361297,OPTIMAL,0.00009,0,Any[],0,Any[],8
pglib_opf_case73_ieee_rts__sad,223497.89,295.5390822,OPTIMAL,0,0,Any[],0,Any[],9
pglib_opf_case89_pegase__sad,NaN,10804.81228,TIME_LIMIT, , , , , ,10
pglib_opf_case118_ieee__sad,98014.94,7131.116508,OPTIMAL,0.00008,10,"Any[(47, 49), (27, 32), (103, 104), (41, 42), (56, 57), (62, 66), (34, 37), (75, 77), (76, 118), (66, 67)]",0,Any[],11
pglib_opf_case162_ieee_dtc__sad,102001.1888,7203.82934,TIME_LIMIT,0.003791,6,"Any[(60, 62), (78, 80), (37, 126), (120, 128), (56, 67), (13, 15)]",0,Any[],12
pglib_opf_case179_goc__sad,755065.43,1957.440004,OPTIMAL,0.0001,10,"Any[(99, 100), (129, 140), (63, 75), (123, 121), (133, 134), (139, 131), (68, 74), (57, 61), (126, 133), (123, 137)]",0,Any[],12
