Instance,Objective_value,Total_time,total_time_no_sub_build,Solution_status,Master_time,Sep_build_time,Sep_solve_time,Num_iter,Num_cuts,Run_time,Optimization_time,OBBT_time,OBBT_function_time,OBBT_iter,Precent_vm_reduce,Precent_td_reduce,Free_lines,Zero_lines,Opt_gap,num_off_lines,off_lines,num_off_lines_leaf,off_lines_leaf,inst_ind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case3_lmbd__sad,5952.44,1.643960197,0.337316028,OPTIMAL,0.330755922,1.306644169,0.006560106,247,6,2.680497367,1.643960197,1.03653717,4.38753982,8,0.526833333,0.893529668,0,0,0,0,Any[],0,Any[],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case5_pjm__sad,26068.06,2.252444137,0.430623908,OPTIMAL,0.398947416,1.821820229,0.031676492,455,75,6.158370603,2.252444137,3.905926466,8.147280485,7,0.4735,0.793086494,0.166666667,0,0,0,Any[],0,Any[],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case14_ieee__sad,2721.59,4.273570673,0.909876547,OPTIMAL,0.822276019,3.363694126,0.087600528,971,228,60.87614812,4.273570673,56.60257745,70.37575076,7,0.27327381,0.517204578,0.2,0,0,0,Any[],0,Any[],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case24_ieee_rts__sad,76696.47,4.916678149,1.986820614,OPTIMAL,1.903010961,2.929857535,0.083809653,1501,201,97.45572706,4.916678149,92.53904891,134.5859029,8,0.10325,0.572198841,0.147058824,0,0,1,"Any[(18, 21)]",0,Any[],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case30_as__sad,893.36,10.57407103,6.930145134,OPTIMAL,6.812101609,3.6439259,0.118043525,3011,210,226.9461008,10.57407103,216.3720298,272.2963896,10,0.290615385,0.623939067,0.170731707,0,3.19E-05,2,"Any[(16, 17), (8, 28)]",0,Any[],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case30_ieee__sad,8183.8,6.423179109,2.382999781,OPTIMAL,2.265176548,4.040179328,0.117823233,1875,222,532.8149967,6.423179109,526.3918176,623.3768049,25,0.299583333,0.680303681,0.195121951,0,0,0,Any[],0,Any[],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case39_epri__sad,148149.32,4.694206785,1.612481707,OPTIMAL,1.540188314,3.081725078,0.072293393,1709,207,138.819275,4.694206785,134.1250682,192.7152747,9,0.119679487,0.522242282,0.152173913,0,0,2,"Any[(17, 18), (9, 39)]",0,Any[],7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case57_ieee__sad,38582.83,18.77287066,15.31707367,OPTIMAL,15.22044753,3.45579699,0.09662614,7018,237,671.1087698,18.77287066,652.3358991,799.753991,9,0.319049708,0.393790039,0.230769231,0,0,4,"Any[(14, 15), (56, 41), (56, 42), (12, 16)]",0,Any[],8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case73_ieee_rts__sad,225701.45,57.47538256,53.57239298,OPTIMAL,53.45990581,3.902989574,0.112487168,20485,288,789.6981757,57.47538256,732.2227931,1115.039119,6,0.088082192,0.397195101,0.212962963,0,0,3,"Any[(42, 45), (18, 21), (36, 37)]",0,Any[],9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ns.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case118_ieee__sad,98324.63,3265.241609,3259.807918,OPTIMAL,3259.637154,5.433690507,0.170764508,512454,273,7058.67597,3265.241609,3793.434361,4770.341948,6,0.061101695,0.253256105,0.335195531,0,5.36E-05,15,"Any[(55, 56), (14, 15), (47, 49), (103, 104), (95, 96), (62, 66), (64, 65), (65, 66), (48, 49), (38, 37), (35, 37), (66, 67), (32, 113), (30, 17), (81, 80)]",0,Any[],11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case162_ieee_dtc__sad,NaN,7201.956171,7191.540446,TIME_LIMIT,7191.161107,10.41572524,0.379338917,2647038,996,18169.00418,7201.956171,10967.04801,18904.32577,1,0.045684156,0.232183437,0.417857143,0, , , , , ,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
