Instance,Objective_value,Total_time,total_time_no_sub_build,Solution_status,Master_time,Sep_build_time,Sep_solve_time,Num_iter,Num_cuts,Run_time,Optimization_time,OBBT_time,OBBT_function_time,OBBT_iter,Precent_vm_reduce,Precent_td_reduce,Free_lines,Zero_lines,Opt_gap,num_off_lines,off_lines,num_off_lines_leaf,off_lines_leaf,inst_ind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case179_goc__sad,756287.51,1831.573037,1827.081511,OPTIMAL,1826.952018,4.491526089,0.129492486,220056,249,6231.249476,1831.573037,4399.676439,6356.899392,4,0.112508646,0.390676741,0.189189189,0,5.83E-06,18,"Any[(99, 100), (40, 10), (85, 86), (168, 170), (63, 75), (173, 174), (137, 138), (139, 131), (158, 78), (60, 61), (9, 10), (8, 20), (87, 88), (51, 58), (126, 133), (48, 141), (3, 20), (177, 178)]",0,Any[],12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case200_activ__sad,NaN,372.7703631,369.5218492,INFEASIBLE,369.4568475,3.248513859,0.065001746,18966,258,4450.149575,372.7703631,4077.379212,5355.964788,7,0.093395,0.347480363,0.187755102,0, , , , , ,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case240_pserc__sad,NaN,7200.511955,7196.706714,TIME_LIMIT,7196.58263,3.805240993,0.124083925,3485824,441,14097.30206,7200.511955,6896.790108,28778.31226,2,0.02730625,0.278087507,0.290229885,0, , , , , ,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case300_ieee__sad,NaN,7201.62995,7197.151219,TIME_LIMIT,7196.997946,4.478731346,0.153272885,2810722,312,13577.79041,7201.62995,6376.160461,15330.6537,2,0.219930556,0.356681777,0.234718826,0, , , , , ,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case3_lmbd__api,11234.89,1.618376248,0.335603832,OPTIMAL,0.32904599,1.282772416,0.006557842,256,12,3.148888342,1.618376248,1.530512094,5.347579743,12,0.806333333,0.9546094,0,0,0,0,Any[],0,Any[],15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case5_pjm__api,76317,2.543107832,0.431482879,OPTIMAL,0.389650494,2.111624953,0.041832385,507,105,6.402241076,2.543107832,3.859133244,8.378973378,7,0.7034,0.96474718,0.166666667,0,0,0,Any[],0,Any[],16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case14_ieee__api,5969.32,4.433910023,0.784402014,OPTIMAL,0.66651028,3.649508009,0.117891734,890,207,118.7458993,4.433910023,114.3119893,139.419339,15,0.34,0.889151765,0.15,0,0,0,Any[],0,Any[],17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case24_ieee_rts__api,132575.04,8.982620423,2.133846882,OPTIMAL,1.844999848,6.848773541,0.288847034,1617,201,93.78314156,8.982620423,84.80052114,127.3814935,7,0.497583333,0.780195025,0.117647059,0,0,1,"Any[(20, 23)]",0,Any[],18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case30_as__api,3581.35,7.018469719,3.421083704,OPTIMAL,3.325711191,3.597386015,0.095372513,1956,234,318.0798978,7.018469719,311.0614281,408.9940168,14,0.515938462,0.916949069,0.12195122,0,0,0,Any[],0,Any[],19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case30_ieee__api,17898.48,5.743437314,2.275362417,OPTIMAL,2.175791157,3.468074897,0.09957126,1906,210,366.5824423,5.743437314,360.839005,430.1704514,16,0.311833333,0.871084496,0.170731707,0,0,1,"Any[(28, 27)]",0,Any[],20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case39_epri__api,249426.14,3.562884191,1.288737524,OPTIMAL,1.252316068,2.274146667,0.036421456,4243,60,197.0118524,3.562884191,193.4489682,290.024107,12,0.579636752,0.976919765,0.043478261,0,1.41E-05,0,Any[],0,Any[],21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case57_ieee__api,49253.61,16.06035156,11.02394735,OPTIMAL,10.8696741,5.036404211,0.154273248,6117,204,581.2805285,16.06035156,565.2201769,670.3721035,7,0.272587719,0.526356683,0.256410256,0,7.24E-05,7,"Any[(38, 49), (14, 15), (56, 41), (44, 45), (56, 42), (10, 12), (12, 16)]",0,Any[],22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case73_ieee_rts__api,407843.85,42.12679949,38.8336375,OPTIMAL,38.7344135,3.293161986,0.099224001,11669,210,817.4015984,42.12679949,775.2747989,1445.733026,7,0.476219178,0.710753835,0.138888889,0,0,2,"Any[(42, 45), (18, 21)]",0,Any[],23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ns.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case118_ieee__api,177937.58,1715.536222,1711.820538,OPTIMAL,1711.702131,3.715683552,0.118406726,202749,204,5374.454854,1715.536222,3658.918632,4726.039024,6,0.053234463,0.51378341,0.324022346,0,9.28E-05,13,"Any[(55, 56), (14, 15), (47, 49), (68, 69), (95, 96), (71, 72), (64, 65), (45, 49), (7, 12), (109, 110), (49, 69), (30, 17), (81, 80)]",0,Any[],25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case162_ieee_dtc__api,115746.63,1699.027507,1691.858519,OPTIMAL,1691.59506,7.168987287,0.263459418,526877,648,8659.933735,1699.027507,6960.906228,14775.8146,1,0.049850823,0.368517157,0.417857143,0,7.99E-05,17,"Any[(126, 127), (43, 103), (125, 126), (43, 125), (144, 146), (72, 113), (8, 14), (72, 132), (60, 62), (94, 103), (113, 132), (43, 124), (124, 126), (12, 14), (14, 132), (65, 126), (60, 126)]",0,Any[],26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case179_goc__api,1920981.58,88.36906139,84.41193829,OPTIMAL,84.28999033,3.9571231,0.121947964,28625,249,4462.169836,88.36906139,4373.800775,8456.712128,6,0.127121575,0.556067771,0.189189189,0,1.18E-05,11,"Any[(95, 96), (162, 81), (7, 20), (173, 174), (137, 138), (158, 78), (60, 61), (9, 10), (97, 98), (126, 133), (177, 178)]",0,Any[],27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case200_activ__api,NaN,184.1695555,181.6949584,INFEASIBLE,181.5893876,2.47459709,0.105570815,11823,207,3647.4507,184.1695555,3463.281144,4932.586848,7,0.02456,0.671500976,0.187755102,0, , , , , ,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case240_pserc__api,4628682.12,7200.503826,7196.840254,TIME_LIMIT,7196.726274,3.663571209,0.113980252,2038863,309,11945.65355,7200.503826,4745.149724,29460.41601,2,0.079445833,0.414860603,0.284482759,0,0.002988549,22,"Any[(129, 149), (13, 77), (145, 148), (125, 126), (43, 44), (42, 48), (77, 78), (34, 77), (127, 129), (172, 173), (115, 116), (237, 238), (53, 77), (178, 183), (164, 165), (178, 201), (123, 124), (42, 47), (175, 176), (62, 69), (113, 120), (18, 19)]",0,Any[],29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case300_ieee__api,680669.45,1544.506729,1538.28782,OPTIMAL,1538.116877,6.218909448,0.17094285,357506,285,7854.203497,1544.506729,6309.696768,9140.141047,1,0.131433333,0.44110711,0.246943765,0,8.68E-05,22,"Any[(152, 155), (116, 126), (163, 164), (193, 251), (132, 134), (296, 298), (109, 125), (259, 295), (188, 196), (124, 112), (36, 38), (183, 188), (144, 148), (133, 134), (148, 154), (219, 126), (173, 220), (65, 67), (111, 249), (34, 39), (13, 15), (183, 187)]",0,Any[],30Instance,Objective_value,Total_time,total_time_no_sub_build,Solution_status,Master_time,Sep_build_time,Sep_solve_time,Num_iter,Num_cuts,Run_time,Optimization_time,OBBT_time,OBBT_function_time,OBBT_iter,Precent_vm_reduce,Precent_td_reduce,Free_lines,Zero_lines,Opt_gap,num_off_lines,off_lines,num_off_lines_leaf,off_lines_leaf,inst_ind,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case3_lmbd,5810.74,1.711594974,0.347848385,OPTIMAL,0.340471452,1.363746589,0.007376933,271,9,2.612623846,1.711594974,0.901028872,4.033776561,7,0,0.584860636,0,0,0,0,Any[],0,Any[],31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case5_pjm,15012.01,3.569459348,0.511077793,OPTIMAL,0.430904327,3.058381555,0.080173466,650,171,8.602995305,3.569459348,5.033535957,9.696647081,9,0.0093,0.797029701,0.333333333,0,0,0,Any[],0,Any[],32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case14_ieee,2176.58,4.472091662,1.018133433,OPTIMAL,0.912982955,3.453958229,0.105150478,1137,204,105.7066028,4.472091662,101.2345111,120.1410643,13,0.09672619,0.552133449,0.35,0,5.08E-05,1,"Any[(12, 13)]",0,Any[],33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case24_ieee_rts,63344.47,7.076474469,3.480708236,OPTIMAL,3.378260348,3.595766233,0.102447888,2063,207,84.81873397,7.076474469,77.7422595,107.5416547,6,0.07125,0.454244345,0.264705882,0,0,2,"Any[(10, 11), (10, 12)]",0,Any[],34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case30_as,802.65,31.30547786,27.8483517,OPTIMAL,27.74334853,3.457126156,0.105003174,9364,222,263.9632945,31.30547786,232.6578166,276.5806144,11,0.119630769,0.772172587,0.268292683,0,5.99E-05,1,"Any[(8, 28)]",0,Any[],35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case30_ieee,8105.09,5.696718465,2.470394678,OPTIMAL,2.39143179,3.226323787,0.078962888,2059,204,676.3915117,5.696718465,670.6947932,782.2204506,31,0.211972222,0.797811227,0.219512195,0,0,0,Any[],0,Any[],36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case39_epri,137740.6,7.090879765,2.91255392,OPTIMAL,2.7910694,4.178325845,0.12148452,2081,201,159.5526815,7.090879765,152.4618018,219.7062578,11,0.092286325,0.727322064,0.173913043,0,5.98E-05,0,Any[],0,Any[],37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case57_ieee,37534.24,15.389729,11.3473746,OPTIMAL,11.22462902,4.0423544,0.122745581,7319,219,510.3226728,15.389729,494.9329438,588.6102056,6,0.230292398,0.526689684,0.256410256,0,0,6,"Any[(38, 49), (14, 15), (56, 41), (54, 55), (56, 42), (12, 16)]",0,Any[],38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case73_ieee_rts,189711.46,42.86130652,39.8963196,OPTIMAL,39.81624697,2.964986924,0.080072627,8035,246,799.1589037,42.86130652,756.2975972,1044.357569,6,0.068465753,0.400312049,0.287037037,0,1.54E-05,4,"Any[(58, 59), (58, 60), (34, 35), (34, 36)]",0,Any[],39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ns.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case118_ieee,96520.59,197.2653004,193.0039264,OPTIMAL,192.8696336,4.261374009,0.134292816,65318,234,3967.688674,197.2653004,3770.423374,4547.088714,6,0.057083333,0.48250126,0.346368715,0,1.56E-05,11,"Any[(106, 107), (103, 104), (62, 66), (64, 65), (65, 66), (105, 106), (38, 37), (32, 113), (31, 32), (30, 17), (81, 80)]",0,Any[],41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case162_ieee_dtc,101830.94,7202.124575,7184.436373,TIME_LIMIT,7183.875662,17.68820262,0.560711022,1733363,732,18275.87696,7202.124575,11073.75238,18922.28022,1,0.045226337,0.365369299,0.417857143,0,0.001654051,8,"Any[(116, 117), (8, 14), (72, 132), (94, 103), (113, 132), (12, 14), (14, 132), (30, 32)]",0,Any[],44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case179_goc,753189.85,569.8492521,561.0064874,OPTIMAL,560.7868043,8.842764692,0.219683032,85542,294,4607.976474,569.8492521,4038.127222,6441.491141,4,0.073341314,0.539385773,0.193693694,0,0,7,"Any[(85, 86), (95, 96), (137, 138), (158, 78), (60, 61), (87, 88), (97, 98)]",0,Any[],42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case200_activ,NaN,113.4439827,109.6862932,INFEASIBLE,109.6052185,3.757689518,0.081074715,8785,225,4006.753836,113.4439827,3893.309854,4771.460016,4,0.0159525,0.680951272,0.187755102,0, , , , , ,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case240_pserc,3244227.55,7201.522528,7197.177988,TIME_LIMIT,7197.03831,4.344539937,0.13967819,2892505,306,12927.02578,7201.522528,5725.503252,20134.51745,2,0.026733333,0.398975571,0.290229885,0,0.000242869,23,"Any[(13, 77), (145, 148), (130, 131), (209, 211), (127, 128), (42, 48), (77, 78), (34, 77), (127, 129), (172, 173), (115, 116), (237, 238), (53, 77), (88, 96), (178, 183), (164, 165), (203, 204), (139, 237), (42, 47), (175, 176), (62, 69), (161, 184), (18, 19)]",0,Any[],44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case300_ieee,565065.48,7200.608409,7196.53551,TIME_LIMIT,7196.400826,4.072898837,0.134683563,1417249,270,12038.83487,7200.608409,4838.226464,10194.41708,1,0.152569444,0.448402849,0.239608802,0,0.03334028,25,"Any[(173, 186), (243, 248), (39, 77), (298, 4), (296, 298), (109, 125), (216, 217), (204, 205), (183, 184), (251, 256), (36, 38), (183, 188), (133, 134), (220, 197), (59, 80), (184, 188), (173, 220), (219, 248), (246, 250), (65, 67), (39, 78), (34, 39), (183, 187), (157, 146), (151, 154)]",0,Any[],48,,,,,,,,,,,,,,,,,,,,,,,,Instance,Objective_value,Total_time,total_time_no_sub_build,Solution_status,Master_time,Sep_build_time,Sep_solve_time,Num_iter,Num_cuts,Run_time,Optimization_time,OBBT_time,OBBT_function_time,OBBT_iter,Precent_vm_reduce,Precent_td_reduce,Free_lines,Zero_lines,Opt_gap,num_off_lines,off_lines,num_off_lines_leaf,off_lines_leaf,inst_ind
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instance,Objective_value,Total_time,total_time_no_sub_build,Solution_status,Master_time,Sep_build_time,Sep_solve_time,Num_iter,Num_cuts,Run_time,Optimization_time,OBBT_time,OBBT_function_time,OBBT_iter,Precent_vm_reduce,Precent_td_reduce,Free_lines,Zero_lines,Opt_gap,num_off_lines,off_lines,num_off_lines_leaf,off_lines_leaf,inst_ind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case500_goc__sad,NaN,2572.505727,2569.415313,INFEASIBLE,2569.282435,3.090413575,0.132878508,43434,114,7462.889685,2572.505727,4890.383958,20451.01674,1,0.054018,0.277840118,0.232307692,0, , , , , ,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case588_sdet__sad,NaN,10800.60557,10797.84126,TIME_LIMIT,10797.61712,2.764303872,0.224141705,5839129,261,15823.58686,10800.60557,5022.981289,10028.1692,2,0.050984694,0.614540545,0.131462334,0, , , , , ,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case793_goc__sad,273799.2497,10800.95795,10797.57462,TIME_LIMIT,10797.26087,3.383326896,0.313755318,14971647,234,15092.54245,10800.95795,4291.584498,12308.65965,1,0.042534678,0.560565193,0.121681416,0,0.032229327,26,"Any[(554, 555), (410, 412), (633, 651), (493, 502), (147, 149), (502, 503), (340, 341), (610, 591), (759, 776), (612, 593), (570, 581), (533, 534), (590, 598), (740, 758), (639, 642), (348, 352), (464, 477), (659, 693), (627, 628), (625, 627), (785, 789), (601, 654), (528, 776), (787, 788), (325, 353), (631, 653)]",0,Any[],17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case1354_pegase__sad,NaN,10800.92265,10795.89169,TIME_LIMIT,10795.40071,5.030958487,0.490978657,2502233,696,51270.93104,10800.92265,40470.00839,90280.27041,1,0.036185673,0.481245467,0.204093567,0, , , , , ,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case500_goc__api,NaN,10801.04461,10797.52747,TIME_LIMIT,10797.33307,3.517136125,0.194399871,11839614,210,15982.60885,10801.04461,5181.564241,21011.74312,1,0.054952,0.534239966,0.201538462,0, , , , , ,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case588_sdet__api,390166.4819,10800.5314,10798.1903,TIME_LIMIT,10797.94943,2.341095569,0.240870812,5515842,213,15738.6749,10800.5314,4938.143504,10798.00197,3,0.056418367,0.799233105,0.132939439,0,0.000412891,9,"Any[(555, 557), (407, 402), (15, 65), (70, 77), (581, 543), (548, 557), (328, 345), (554, 558), (80, 130)]",0,Any[],40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case793_goc__api,283829.3745,10800.85538,10797.88791,TIME_LIMIT,10797.58954,2.967464849,0.298369852,23254706,204,20059.11088,10800.85538,9258.255506,17955.12537,1,0.050329809,0.701098594,0.118362832,0,0.024056312,16,"Any[(554, 555), (410, 412), (502, 503), (340, 341), (370, 379), (759, 776), (352, 353), (533, 534), (634, 646), (590, 598), (639, 642), (652, 653), (169, 170), (625, 627), (601, 654), (325, 353)]",0,Any[],41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case1354_pegase__api,NaN,10801.253,10797.74127,TIME_LIMIT,10797.56507,3.511721984,0.176206451,2902330,213,50070.53781,10801.253,39269.28481,79608.73588,1,0.032802632,0.562730987,0.201754386,0, , , , , ,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case500_goc,NaN,4359.900934,4356.100832,INFEASIBLE,4355.868703,3.800102006,0.232129198,87730,276,11415.4258,4359.900934,7055.524862,17112.39695,1,0.05205,0.523223605,0.232307692,0, , , , , ,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case588_sdet,307766.4738,10800.70297,10797.93796,TIME_LIMIT,10797.71215,2.765010105,0.225809551,5783455,243,15055.06539,10800.70297,4254.362416,8758.357397,2,0.043969388,0.772104077,0.132939439,0,0.000776278,24,"Any[(555, 557), (445, 468), (116, 119), (128, 129), (15, 65), (393, 416), (84, 128), (446, 468), (403, 404), (70, 77), (59, 63), (565, 577), (112, 123), (487, 495), (548, 557), (124, 128), (39, 40), (502, 523), (301, 306), (19, 63), (547, 549), (408, 416), (80, 130), (63, 64)]",0,Any[],62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case793_goc,256908.6096,10800.81532,10798.13204,TIME_LIMIT,10797.90578,2.683278508,0.226259181,15338374,234,17461.88997,10800.81532,6661.074654,14985.95756,2,0.03703463,0.812500912,0.122787611,0,0.000428604,12,"Any[(410, 412), (493, 502), (502, 503), (299, 354), (759, 776), (570, 581), (340, 343), (533, 534), (590, 598), (625, 627), (528, 776), (787, 788)]",0,Any[],63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case1354_pegase,NaN,10800.89753,10796.68725,TIME_LIMIT,10796.48166,4.210270944,0.205591052,4124142,495,53035.83073,10800.89753,42234.9332,91663.89495,1,0.032572368,0.56409983,0.204678363,0, , , , , ,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
