Instance,Objective_value,Run_time,Solution_status,Optimization_time,OBBT_time,OBBT_function_time,OBBT_iter,Free_lines,Zero_lines,Opt_gap,num_off_lines,off_lines,num_off_lines_leaf,off_lines_leaf,inst_ind
pglib_opf_case3_lmbd__sad,5952.358232,1.295079087,OPTIMAL,0.149880027,1.14519906,3.388693951,7,0.333333333,0,0,0,Any[],0,Any[],1
pglib_opf_case5_pjm__sad,26047.37787,7.16048797,OPTIMAL,0.200766882,6.959721088,9.422599668,11,0.333333333,0,8.13E-08,1,"Any[(3, 4)]",0,Any[],2
pglib_opf_case14_ieee__sad,2708.80231,49.8619276,OPTIMAL,3.228889322,46.63303828,52.14338307,6,0.65,0,0,3,"Any[(7, 8), (4, 7), (7, 9)]",1,"Any[(7, 8)]",3
pglib_opf_case24_ieee_rts__sad,75248.79648,166.3973003,OPTIMAL,104.0911949,62.30610538,66.78641615,5,0.647058824,0,0,7,"Any[(1, 2), (12, 13), (11, 13), (11, 14), (18, 21), (5, 10), (8, 10)]",0,Any[],4
pglib_opf_case30_as__sad,883.7691136,274.8944305,OPTIMAL,65.27076515,209.6236653,217.0677372,11,0.731707317,0,4.20E-06,10,"Any[(6, 8), (6, 10), (23, 24), (12, 14), (6, 28), (12, 16), (19, 20), (3, 4), (15, 18), (24, 25)]",0,Any[],5
pglib_opf_case30_ieee__sad,8176.670943,151.0827657,OPTIMAL,5.890742226,145.1920235,151.7624706,7,0.756097561,0,2.92E-05,4,"Any[(6, 8), (6, 10), (12, 13), (6, 9)]",1,"Any[(12, 13)]",6
pglib_opf_case39_epri__sad,147387.3201,77.36363995,OPTIMAL,16.40430796,60.95933199,65.65345336,5,0.717391304,0,2.25E-08,12,"Any[(19, 20), (8, 9), (16, 17), (2, 25), (17, 18), (17, 27), (9, 39), (10, 11), (3, 18), (4, 14), (1, 39), (5, 6)]",0,Any[],7
pglib_opf_case57_ieee__sad,38563.02596,539.7187104,OPTIMAL,189.3547415,350.3639688,358.0985239,6,0.794871795,0,9.81E-05,16,"Any[(4, 6), (54, 55), (4, 5), (21, 22), (3, 4), (11, 41), (32, 33), (10, 12), (57, 56), (9, 12), (5, 6), (50, 51), (10, 51), (52, 53), (14, 46), (40, 56)]",0,Any[],8
pglib_opf_case73_ieee_rts__sad,221298.5498,8067.055551,TIME_LIMIT,7200.17858,866.876971,880.19149,6,0.759259259,0,0.004559769,16,"Any[(73, 21), (25, 26), (53, 58), (42, 45), (49, 50), (29, 34), (23, 41), (18, 21), (17, 18), (1, 2), (5, 10), (32, 34), (59, 62), (11, 14), (35, 38), (41, 42)]",0,Any[],9
pglib_opf_case89_pegase__sad,NaN,222148.1588,TIME_LIMIT,7204.615145,214943.5437,215162.2712,1,1,0, , , , , ,10
pglib_opf_case118_ieee__sad,96719.03863,11628.35722,TIME_LIMIT,7200.271953,4428.085266,4453.160306,5,0.94972067,0,0.001120465,38,"Any[(110, 111), (47, 49), (64, 61), (106, 107), (63, 59), (41, 42), (62, 66), (71, 72), (64, 65), (60, 62), (40, 42), (65, 66), (46, 48), (17, 113), (62, 67), (45, 46), (103, 105), (19, 34), (38, 37), (34, 36), (39, 40), (35, 37), (105, 107), (61, 62), (23, 24), (37, 40), (16, 17), (66, 67), (32, 113), (26, 25), (13, 15), (59, 60), (31, 32), (33, 37), (90, 91), (30, 17), (63, 64), (81, 80)]",1,"Any[(110, 111)]",11
pglib_opf_case162_ieee_dtc__sad,102151.245,13849.31027,TIME_LIMIT,7200.804696,6648.50557,6683.545592,1,0.967857143,0,0.006071497,7,"Any[(16, 18), (97, 44), (17, 18), (98, 93), (142, 51), (95, 91), (15, 58)]",0,Any[],12
pglib_opf_case179_goc__sad,754648.6474,10975.86623,TIME_LIMIT,7200.198543,3775.667692,3795.417467,4,0.801801802,0,0.000768287,61,"Any[(128, 140), (99, 100), (119, 68), (163, 164), (124, 123), (107, 108), (42, 57), (63, 62), (65, 72), (145, 144), (147, 158), (85, 86), (95, 96), (7, 20), (141, 140), (62, 68), (129, 140), (146, 145), (83, 84), (101, 102), (4, 10), (174, 162), (153, 156), (2, 20), (11, 10), (137, 138), (158, 78), (41, 59), (112, 123), (65, 74), (179, 163), (60, 61), (64, 69), (45, 97), (8, 20), (3, 16), (62, 65), (3, 8), (150, 149), (23, 44), (72, 71), (153, 154), (3, 7), (178, 162), (97, 98), (111, 112), (20, 22), (16, 17), (48, 58), (147, 101), (48, 141), (132, 131), (48, 51), (3, 20), (156, 152), (94, 45), (102, 45), (3, 2), (45, 99), (71, 158), (105, 159)]",0,Any[],13
pglib_opf_case200_activ__sad,27567.32582,11167.44656,TIME_LIMIT,7200.129013,3967.317549,3984.920614,5,0.751020408,0,0.00045635,67,"Any[(152, 149), (168, 163), (69, 66), (154, 149), (12, 11), (126, 123), (15, 14), (22, 27), (181, 194), (197, 195), (196, 195), (170, 163), (50, 48), (91, 89), (100, 179), (89, 95), (41, 180), (49, 48), (165, 163), (180, 191), (53, 48), (11, 93), (199, 172), (100, 184), (27, 93), (158, 11), (135, 133), (182, 181), (153, 149), (173, 174), (70, 66), (76, 75), (166, 163), (27, 158), (136, 133), (158, 22), (67, 66), (41, 100), (73, 66), (164, 163), (68, 66), (71, 66), (121, 178), (94, 93), (125, 123), (151, 149), (127, 123), (77, 75), (72, 66), (95, 58), (100, 174), (79, 75), (16, 15), (92, 89), (78, 75), (161, 160), (51, 48), (155, 149), (88, 194), (167, 163), (169, 163), (80, 100), (52, 48), (11, 15), (183, 181), (90, 89), (63, 184)]",31,"Any[(53, 48), (154, 149), (72, 66), (127, 123), (68, 66), (136, 133), (91, 89), (151, 149), (167, 163), (71, 66), (170, 163), (182, 181), (69, 66), (49, 48), (155, 149), (76, 75), (51, 48), (135, 133), (67, 66), (152, 149), (183, 181), (153, 149), (73, 66), (77, 75), (52, 48), (50, 48), (126, 123), (90, 89), (125, 123), (94, 93), (70, 66)]",14
pglib_opf_case240_pserc__sad,3.25E+06,11839.18457,TIME_LIMIT,7200.431676,4638.752892,4673.976508,1,0.916666667,0,0.003864948,33,"Any[(13, 77), (10, 77), (209, 211), (1, 10), (157, 158), (11, 14), (1, 11), (200, 201), (189, 190), (77, 78), (89, 149), (133, 237), (26, 30), (115, 116), (53, 77), (159, 171), (208, 230), (157, 169), (159, 160), (137, 150), (203, 204), (157, 170), (28, 48), (114, 116), (159, 170), (139, 237), (158, 195), (82, 83), (156, 169), (22, 31), (137, 236), (18, 19), (159, 174)]",0,Any[],15
