Instance,Objective_value,Run_time,Solution_status,Optimization_time,OBBT_time,OBBT_function_time,OBBT_iter,Free_lines,Zero_lines,Opt_gap,num_off_lines,off_lines,num_off_lines_leaf,off_lines_leaf,inst_ind
pglib_opf_case300_ieee__sad,554542.8751,10959.19661,TIME_LIMIT,7200.277392,3758.919215,3778.421336,1,0.80195599,0,0.02767603,53,"Any[(261, 271), (227, 79), (100, 124), (183, 259), (263, 283), (266, 292), (270, 273), (15, 121), (69, 29), (262, 278), (210, 214), (216, 217), (12, 13), (262, 280), (48, 84), (268, 269), (124, 112), (192, 191), (36, 38), (6, 9), (6, 176), (173, 111), (182, 181), (215, 51), (73, 63), (262, 281), (270, 272), (220, 211), (133, 134), (266, 291), (9, 178), (60, 61), (57, 79), (144, 145), (42, 60), (71, 74), (67, 18), (139, 140), (262, 275), (52, 90), (26, 16), (183, 260), (36, 59), (158, 172), (50, 55), (49, 85), (288, 297), (157, 146), (18, 19), (63, 64), (173, 1), (263, 282), (36, 37)]",1,"Any[(227, 79)]",16
pglib_opf_case3_lmbd__api,10635.85755,2.010303536,OPTIMAL,0.093884745,1.916418791,4.538180251,12,0.333333333,0,0,0,Any[],0,Any[],18
pglib_opf_case5_pjm__api,74936.2816,4.260028345,OPTIMAL,0.298011047,3.962017298,7.00197448,6,0.5,0,3.64E-05,1,"Any[(3, 4)]",0,Any[],19
pglib_opf_case14_ieee__api,5949.882699,66.75977325,OPTIMAL,0.821075912,65.93869734,72.07322869,9,0.5,0,7.69E-05,1,"Any[(4, 7)]",0,Any[],20
pglib_opf_case24_ieee_rts__api,118321.1579,133.5416046,OPTIMAL,31.66479548,101.8768091,108.2056506,7,0.470588235,0,0,2,"Any[(20, 23), (15, 16)]",0,Any[],21
pglib_opf_case30_as__api,2777.125001,350.4822564,OPTIMAL,20.32271099,330.1595454,338.5223997,15,0.390243902,0,3.41E-05,3,"Any[(1, 2), (23, 24), (24, 25)]",0,Any[],22
pglib_opf_case30_ieee__api,17873.95598,171.8920416,OPTIMAL,4.572923532,167.319118,174.2598061,8,0.609756098,0,1.03E-05,5,"Any[(6, 8), (6, 10), (6, 28), (15, 23), (15, 18)]",0,Any[],23
pglib_opf_case39_epri__api,245646.7431,99.31130393,OPTIMAL,4.841668202,94.46963573,99.04292416,8,0.543478261,0,0,5,"Any[(19, 20), (16, 24), (12, 11), (15, 16), (10, 11)]",0,Any[],24
pglib_opf_case57_ieee__api,49248.00937,505.1952734,OPTIMAL,51.49930076,453.6959727,463.9222063,6,0.833333333,0,9.36E-05,7,"Any[(4, 6), (10, 12), (9, 12), (5, 6), (4, 18), (14, 46), (40, 56)]",0,Any[],25
pglib_opf_case73_ieee_rts__api,380609.8747,4444.166097,OPTIMAL,3307.256801,1136.909296,1151.379995,7,0.509259259,0,4.60E-05,6,"Any[(66, 47), (49, 50), (18, 21), (66, 69), (1, 2), (33, 35)]",0,Any[],26
pglib_opf_case89_pegase__api,NaN,299807.4647,TIME_LIMIT,7205.557325,292601.9074,292907.0448,1,1,0, , , , , ,27
pglib_opf_case118_ieee__api,170481.1373,11193.5055,TIME_LIMIT,7200.240435,3993.265061,4025.121918,5,0.905027933,0,0.000144467,43,"Any[(14, 15), (110, 111), (64, 61), (15, 19), (27, 32), (68, 69), (106, 107), (103, 104), (86, 87), (54, 59), (63, 59), (41, 42), (62, 66), (71, 72), (64, 65), (49, 66), (60, 62), (70, 71), (40, 42), (68, 116), (70, 74), (17, 113), (3, 12), (23, 32), (100, 103), (59, 61), (55, 59), (12, 14), (105, 107), (23, 24), (71, 73), (32, 113), (13, 15), (59, 60), (24, 72), (90, 91), (7, 12), (109, 110), (49, 69), (30, 17), (18, 19), (68, 81), (47, 69)]",2,"Any[(110, 111), (86, 87)]",28
pglib_opf_case162_ieee_dtc__api,116576.2427,12533.09872,TIME_LIMIT,7200.83707,5332.26165,5369.363078,1,0.942857143,0,0.00913362,7,"Any[(97, 44), (116, 119), (133, 134), (93, 42), (98, 93), (95, 91), (3, 124)]",0,Any[],29
pglib_opf_case179_goc__api,1.92E+06,4048.443987,OPTIMAL,343.7312755,3704.712711,3727.609692,6,0.828828829,0,9.79E-05,45,"Any[(160, 90), (119, 68), (163, 164), (124, 123), (107, 108), (65, 72), (145, 144), (106, 107), (147, 158), (95, 96), (7, 20), (62, 68), (146, 145), (172, 173), (65, 66), (101, 102), (174, 162), (2, 20), (11, 10), (137, 138), (158, 78), (112, 123), (65, 74), (60, 61), (161, 175), (45, 97), (8, 20), (3, 8), (150, 149), (161, 171), (3, 7), (178, 162), (97, 98), (92, 103), (20, 22), (147, 101), (3, 20), (94, 45), (176, 177), (102, 45), (3, 2), (45, 99), (71, 158), (103, 158), (63, 164)]",0,Any[],30
pglib_opf_case200_activ__api,35693.86992,6519.819118,OPTIMAL,3029.166133,3490.652985,3509.595847,7,0.751020408,0,9.23E-05,27,"Any[(69, 66), (126, 123), (170, 163), (50, 48), (91, 89), (49, 48), (53, 48), (135, 133), (182, 181), (70, 66), (76, 75), (136, 133), (67, 66), (73, 66), (68, 66), (71, 66), (94, 93), (125, 123), (151, 149), (127, 123), (77, 75), (72, 66), (51, 48), (167, 163), (52, 48), (183, 181), (90, 89)]",27,"Any[(53, 48), (72, 66), (127, 123), (68, 66), (136, 133), (91, 89), (151, 149), (167, 163), (71, 66), (170, 163), (182, 181), (69, 66), (49, 48), (76, 75), (51, 48), (135, 133), (67, 66), (183, 181), (73, 66), (77, 75), (52, 48), (50, 48), (126, 123), (90, 89), (125, 123), (94, 93), (70, 66)]",31
pglib_opf_case240_pserc__api,4.61E+06,14332.01083,TIME_LIMIT,7200.71671,7131.294121,7169.283353,2,0.885057471,0,0.001030608,37,"Any[(7, 18), (121, 122), (125, 126), (34, 78), (209, 210), (10, 77), (111, 113), (13, 19), (157, 158), (1, 11), (200, 201), (202, 210), (2, 8), (189, 190), (77, 78), (34, 77), (26, 30), (115, 116), (53, 77), (159, 171), (157, 169), (159, 160), (4, 231), (157, 170), (10, 11), (28, 48), (114, 116), (159, 170), (123, 124), (158, 195), (82, 83), (156, 169), (196, 216), (160, 178), (4, 230), (18, 19), (159, 174)]",0,Any[],32
pglib_opf_case500_goc__api,NaN,7132.310936,INFEASIBLE_OR_UNBOUNDED,1871.370644,5260.940292,5285.043227,1,0.738461538,0, , , , , ,34
pglib_opf_case3_lmbd,5810.796499,1.217640907,OPTIMAL,0.146729023,1.070911884,3.568114266,7,0.333333333,0,2.04E-06,0,Any[],0,Any[],35
pglib_opf_case5_pjm,15001.86085,1.669109374,OPTIMAL,0.305227548,1.363881826,4.046754805,2,1,0,0,1,"Any[(2, 3)]",0,Any[],36
pglib_opf_case14_ieee,2176.288184,42.70172725,OPTIMAL,2.503285026,40.19844222,44.89812652,5,0.95,0,7.94E-06,6,"Any[(1, 2), (7, 8), (4, 7), (5, 6), (2, 4), (4, 9)]",1,"Any[(7, 8)]",37
pglib_opf_case24_ieee_rts,63344.57911,410.8023886,OPTIMAL,349.2054974,61.59689116,65.9559963,5,0.941176471,0,9.68E-05,5,"Any[(1, 2), (12, 13), (10, 12), (18, 21), (17, 18)]",0,Any[],38
pglib_opf_case30_as,802.7230579,872.2338323,OPTIMAL,630.59595,241.6378822,250.0372307,11,0.87804878,0,8.81E-05,5,"Any[(6, 8), (23, 24), (25, 27), (24, 25), (28, 27)]",0,Any[],39
pglib_opf_case30_ieee,6742.865784,155.6822485,OPTIMAL,6.557023231,149.1252253,156.8452538,6,0.902439024,0,0,3,"Any[(6, 10), (6, 9), (4, 12)]",0,Any[],40
pglib_opf_case39_epri,137667.5419,81.36177805,OPTIMAL,1.170475269,80.19130278,85.12195102,5,0.934782609,0,4.22E-05,5,"Any[(19, 20), (8, 9), (2, 25), (9, 39), (1, 39)]",0,Any[],41
pglib_opf_case57_ieee,37523.95212,749.0932171,OPTIMAL,77.42988325,671.6633339,683.2598723,8,0.858974359,0,9.21E-05,6,"Any[(11, 43), (13, 49), (4, 18), (10, 51), (14, 46), (40, 56)]",0,Any[],42
pglib_opf_case73_ieee_rts,189711.0754,8068.043239,OPTIMAL,5136.274208,2931.769031,2960.834077,5,0.944444444,0,4.23E-05,14,"Any[(66, 47), (73, 21), (25, 26), (58, 60), (42, 45), (49, 50), (23, 41), (18, 21), (17, 18), (34, 36), (1, 2), (10, 12), (65, 66), (41, 42)]",0,Any[],43
pglib_opf_case89_pegase,NaN,298929.2998,TIME_LIMIT,7207.310186,291721.9896,292036.5378,1,1,0, , , , , ,44
pglib_opf_case118_ieee,96381.07388,5966.162831,OPTIMAL,1778.116112,4188.046719,4217.464726,4,0.966480447,0,5.01E-05,38,"Any[(110, 111), (47, 49), (46, 47), (64, 61), (27, 32), (106, 107), (86, 87), (63, 59), (41, 42), (62, 66), (71, 72), (64, 65), (60, 62), (70, 71), (40, 42), (65, 66), (46, 48), (17, 113), (45, 46), (23, 32), (103, 105), (19, 34), (38, 37), (59, 61), (39, 40), (105, 107), (61, 62), (23, 24), (37, 40), (71, 73), (32, 113), (59, 60), (31, 32), (24, 72), (90, 91), (30, 17), (63, 64), (81, 80)]",2,"Any[(110, 111), (86, 87)]",45
pglib_opf_case162_ieee_dtc,102117.0979,12908.46018,TIME_LIMIT,7202.181344,5706.278841,5760.113465,1,0.967857143,0,0.0056659,7,"Any[(16, 18), (97, 44), (17, 18), (98, 93), (142, 51), (95, 91), (15, 58)]",0,Any[],46
pglib_opf_case179_goc,753134.384,3612.997424,OPTIMAL,334.3313257,3278.666098,3298.037217,6,0.806306306,0,9.18E-05,71,"Any[(128, 140), (119, 68), (163, 164), (124, 123), (107, 108), (42, 57), (63, 62), (40, 10), (65, 72), (145, 144), (106, 107), (147, 158), (85, 86), (95, 96), (7, 20), (10, 83), (141, 140), (62, 68), (129, 140), (146, 145), (159, 156), (172, 173), (83, 84), (101, 102), (4, 10), (174, 162), (153, 156), (2, 20), (11, 10), (137, 138), (158, 78), (112, 123), (65, 74), (179, 163), (60, 61), (64, 69), (45, 97), (9, 10), (8, 20), (6, 40), (3, 16), (62, 65), (10, 85), (3, 8), (6, 4), (150, 149), (72, 71), (37, 38), (153, 154), (3, 7), (178, 162), (97, 98), (156, 154), (10, 87), (20, 22), (16, 17), (39, 6), (147, 101), (132, 131), (3, 20), (38, 10), (156, 152), (94, 45), (32, 33), (176, 177), (102, 45), (3, 2), (45, 99), (153, 151), (71, 158), (105, 159)]",0,Any[],47
pglib_opf_case200_activ,27556.51534,6366.216495,OPTIMAL,3014.296103,3351.920392,3369.167366,7,0.751020408,0,3.61E-05,56,"Any[(152, 149), (69, 66), (154, 149), (126, 123), (15, 14), (22, 27), (181, 194), (170, 163), (50, 48), (91, 89), (100, 179), (89, 95), (41, 180), (49, 48), (180, 191), (53, 48), (11, 93), (199, 172), (100, 184), (27, 93), (158, 11), (135, 133), (182, 181), (153, 149), (173, 174), (70, 66), (76, 75), (27, 158), (136, 133), (158, 22), (67, 66), (41, 100), (73, 66), (68, 66), (14, 149), (71, 66), (121, 178), (94, 93), (125, 123), (151, 149), (127, 123), (77, 75), (72, 66), (95, 58), (100, 174), (16, 15), (51, 48), (155, 149), (88, 194), (167, 163), (80, 100), (52, 48), (11, 15), (183, 181), (90, 89), (63, 184)]",31,"Any[(53, 48), (154, 149), (72, 66), (127, 123), (68, 66), (136, 133), (91, 89), (151, 149), (167, 163), (71, 66), (170, 163), (182, 181), (69, 66), (49, 48), (155, 149), (76, 75), (51, 48), (135, 133), (67, 66), (152, 149), (183, 181), (153, 149), (73, 66), (77, 75), (52, 48), (50, 48), (126, 123), (90, 89), (125, 123), (94, 93), (70, 66)]",48
pglib_opf_case240_pserc,3.24E+06,12888.63194,TIME_LIMIT,7200.495575,5688.136367,5716.233669,2,0.91954023,0,0.001608994,33,"Any[(13, 77), (10, 77), (209, 211), (1, 10), (157, 158), (11, 14), (1, 11), (200, 201), (189, 190), (77, 78), (89, 149), (133, 237), (26, 30), (115, 116), (53, 77), (159, 171), (208, 230), (157, 169), (159, 160), (137, 150), (203, 204), (157, 170), (28, 48), (114, 116), (159, 170), (139, 237), (158, 195), (82, 83), (156, 169), (22, 31), (137, 236), (18, 19), (159, 174)]",0,Any[],49
pglib_opf_case300_ieee,549577.3215,10948.49266,TIME_LIMIT,7200.31911,3748.173551,3765.012423,1,0.80195599,0,0.018103498,52,"Any[(261, 271), (227, 79), (100, 124), (183, 259), (263, 283), (266, 292), (270, 273), (15, 121), (69, 29), (262, 278), (210, 214), (216, 217), (12, 13), (262, 280), (48, 84), (268, 269), (124, 112), (192, 191), (36, 38), (6, 9), (6, 176), (173, 111), (182, 181), (215, 51), (73, 63), (262, 281), (270, 272), (220, 211), (133, 134), (266, 291), (9, 178), (60, 61), (144, 145), (42, 60), (71, 74), (67, 18), (139, 140), (262, 275), (52, 90), (26, 16), (183, 260), (36, 59), (158, 172), (104, 107), (50, 55), (49, 85), (288, 297), (157, 146), (18, 19), (63, 64), (173, 1), (263, 282)]",1,"Any[(227, 79)]",50
