Instance,Nodes,Edges,Objective_value,Run_time,Solution_status,Opt_gap,Num_off_lines,Off_lines,
pglib_opf_case500_goc__api,500,733,NaN,7218.741341,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case588_sdet__api,588,686,389971.0793,10816.42842,TIME_LIMIT,FEASIBLE_POINT,0.002008639,48,"Any[(376, 362), (251, 282), (112, 124), (310, 324), (378, 401), (47, 48), (398, 363), (411, 363), (457, 491), (28, 31), (369, 372), (192, 229), (411, 370), (476, 485), (445, 448), (449, 468), (378, 382), (368, 361), (7, 8), (371, 370), (439, 450), (128, 80), (199, 200), (181, 182), (39, 40), (446, 521), (406, 394), (359, 370), (427, 476), (267, 324), (92, 93), (309, 252), (310, 280), (214, 215), (378, 395), (296, 285), (445, 446), (446, 447), (310, 315), (84, 128), (278, 310), (104, 105), (355, 363), (310, 237), (168, 214), (378, 356), (383, 411), (436, 437)]"
pglib_opf_case793_goc__api,793,913,NaN,3.046712069,INFEASIBLE,NO_SOLUTION, , , 
pglib_opf_case1354_pegase__api,1354,1991,NaN,10800.97933,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case1888_rte__api,1888,2531,NaN,10801.92813,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case1951_rte__api,1951,2596,NaN,10805.21511,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case2000_goc__api,2000,3639,NaN,1050.418949,INFEASIBLE,NO_SOLUTION, , , 
pglib_opf_case2312_goc__api,2312,3013,NaN,6231.369949,INFEASIBLE,NO_SOLUTION, , , 
pglib_opf_case500_goc,500,733,NaN,10821.07014,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case588_sdet,588,686,307339.5611,10801.09761,TIME_LIMIT,FEASIBLE_POINT,0.001214856,49,"Any[(26, 119), (376, 362), (398, 363), (411, 363), (28, 31), (21, 40), (213, 191), (343, 350), (27, 28), (411, 370), (476, 485), (445, 448), (212, 192), (449, 468), (262, 299), (443, 446), (378, 382), (112, 113), (27, 56), (371, 370), (439, 450), (386, 358), (319, 329), (199, 200), (29, 58), (181, 182), (63, 64), (105, 106), (39, 40), (19, 25), (446, 521), (359, 370), (383, 411), (427, 476), (407, 381), (310, 280), (214, 215), (296, 285), (446, 447), (310, 315), (83, 128), (259, 286), (104, 105), (355, 363), (310, 237), (97, 120), (378, 356), (383, 411), (436, 437)]"
pglib_opf_case793_goc,793,913,256776.7588,10800.85331,TIME_LIMIT,FEASIBLE_POINT,0.000334532,20,"Any[(254, 287), (531, 532), (225, 273), (380, 381), (16, 17), (289, 598), (479, 482), (287, 385), (100, 276), (623, 624), (340, 341), (708, 724), (787, 656), (524, 525), (493, 503), (280, 361), (232, 616), (362, 410), (232, 616), (122, 124)]"
pglib_opf_case1354_pegase,1354,1991,NaN,10800.87546,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case1888_rte,1888,2531,NaN,10801.66052,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case1951_rte,1951,2596,NaN,10808.49926,TIME_LIMIT,NO_SOLUTION, , , 
pglib_opf_case2000_goc,2000,3639,NaN,10286.04515,INFEASIBLE,NO_SOLUTION, , , 
pglib_opf_case2312_goc,2312,3013,NaN,5124.203496,INFEASIBLE,NO_SOLUTION, , ,
