Instance,Objective_value,Total_time,total_time_no_sub_build,Solution_status,Master_time,Sep_build_time,Sep_solve_time,Num_iter,Num_cuts,Run_time,Optimization_time,OBBT_time,OBBT_function_time,OBBT_iter,Precent_vm_reduce,Precent_td_reduce,Free_lines,Zero_lines,Opt_gap,num_off_lines,off_lines,num_off_lines_leaf,off_lines_leaf,
pglib_opf_case3_lmbd__sad,5951.03,1.915549451,0.376378857,OPTIMAL,0.362528657,1.539170594,0.0138502,133,45,2.933929855,1.915549451,1.018380404,3.576542721,7,0.526166667,0.892663389,0.333333333,0,0,0,Any[],0,Any[],
pglib_opf_case5_pjm__sad,26047.31,2.175290951,0.405051368,OPTIMAL,0.375956474,1.770239583,0.029094894,189,90,8.741777071,2.175290951,6.56648612,10.54394668,11,0.4602,0.724602983,0.333333333,0,0,0,Any[],0,Any[],
pglib_opf_case14_ieee__sad,2706.07,4.252907857,1.152831216,OPTIMAL,1.055474553,3.100076641,0.097356663,1123,207,46.33822285,4.252907857,42.08531499,50.25175287,6,0.241309524,0.326186419,0.65,0,0,13,"Any[(4, 5), (12, 13), (9, 10), (10, 11), (6, 12), (6, 13), (7, 8), (9, 14), (4, 7), (3, 4), (6, 11), (7, 9), (13, 14)]",1,"Any[(7, 8)]",
pglib_opf_case24_ieee_rts__sad,75160.81,19.50523189,16.96863194,OPTIMAL,16.90861742,2.53659995,0.060014528,14084,201,82.31222776,19.50523189,62.80699587,74.08921258,5,0.076333333,0.240152368,0.647058824,0,0,6,"Any[(1, 2), (12, 13), (18, 21), (5, 10), (17, 18), (8, 10)]",0,Any[],
pglib_opf_case30_as__sad,883.56,16.85478405,14.27628986,OPTIMAL,14.21391105,2.578494183,0.062378812,9513,219,236.0205562,16.85478405,219.1657722,241.0385425,11,0.113015385,0.154167271,0.731707317,0,0,16,"Any[(6, 8), (6, 10), (23, 24), (12, 14), (6, 28), (25, 26), (12, 16), (25, 27), (19, 20), (3, 4), (6, 9), (15, 18), (5, 7), (24, 25), (16, 17), (10, 20)]",0,Any[],
pglib_opf_case30_ieee__sad,8174.71,6.102989501,2.769893434,OPTIMAL,2.675165476,3.333096067,0.094727958,2506,213,144.8099926,6.102989501,138.7070031,149.1155152,7,0.175583333,0.23207154,0.756097561,0,0,15,"Any[(12, 14), (22, 24), (9, 10), (25, 26), (25, 27), (19, 20), (18, 19), (29, 30), (6, 9), (27, 29), (15, 18), (10, 17), (16, 17), (2, 4), (10, 20)]",0,Any[],
pglib_opf_case39_epri__sad,147387.24,12.33290311,9.678250516,OPTIMAL,9.628046674,2.654652597,0.050203842,14847,207,85.83742115,12.33290311,73.50451803,80.63164321,5,0.066004274,0.185209481,0.717391304,0,0,12,"Any[(19, 20), (8, 9), (16, 17), (2, 25), (17, 18), (15, 16), (17, 27), (9, 39), (3, 18), (4, 14), (1, 39), (5, 6)]",0,Any[],
pglib_opf_case57_ieee__sad,38548.32,86.03176263,82.78610123,OPTIMAL,82.71734698,3.245661401,0.068754249,57878,204,457.3948286,86.03176263,371.363066,394.1947632,6,0.084035088,0.159655532,0.794871795,0,9.92E-05,13,"Any[(4, 6), (54, 55), (4, 5), (3, 4), (11, 41), (32, 33), (10, 12), (9, 12), (5, 6), (10, 51), (2, 3), (14, 46), (40, 56)]",0,Any[],
pglib_opf_case73_ieee_rts__sad,220797.2,7200.549807,7197.501051,TIME_LIMIT,7197.434754,3.048756561,0.066296964,3646452,201,8057.204918,7200.549807,856.6551101,1064.820031,6,0.062547945,0.166246628,0.759259259,0,0.00168605,26,"Any[(56, 57), (73, 21), (25, 26), (53, 58), (71, 73), (60, 61), (42, 45), (52, 57), (49, 50), (29, 34), (23, 41), (18, 21), (32, 33), (17, 18), (4, 9), (8, 10), (1, 2), (57, 60), (28, 33), (5, 10), (65, 66), (12, 13), (9, 12), (1, 5), (33, 36), (36, 37)]",0,Any[],
pglib_opf_case89_pegase__sad,NaN,7292.757738,7287.457054,TIME_LIMIT,7287.339794,5.300684282,0.117259761,1269451,213,62011.84427,7292.757738,54719.08653,57594.00168,1,0,0,1,0, , , , , ,
