Instance,Objective_value,Run_time,Solution_status
pglib_opf_case3_lmbd__sad,5877.265009,0.004763543,OPTIMAL
pglib_opf_case5_pjm__sad,25945.21937,0.011525304,OPTIMAL
pglib_opf_case14_ieee__sad,2244.632007,0.027509548,OPTIMAL
pglib_opf_case24_ieee_rts__sad,74813.08567,0.061954164,OPTIMAL
pglib_opf_case30_as__sad,876.7181044,0.04452123,OPTIMAL
pglib_opf_case30_ieee__sad,7743.773853,0.043250747,OPTIMAL
pglib_opf_case39_epri__sad,148040.2778,0.061299854,OPTIMAL
pglib_opf_case57_ieee__sad,38540.78206,0.105184848,OPTIMAL
pglib_opf_case73_ieee_rts__sad,222211.0199,0.213462834,OPTIMAL
pglib_opf_case89_pegase__sad,106531.5409,0.642095319,OPTIMAL
pglib_opf_case118_ieee__sad,98183.40865,0.257130042,OPTIMAL
pglib_opf_case162_ieee_dtc__sad,101939.7793,0.662984986,OPTIMAL
pglib_opf_case179_goc__sad,754971.0394,0.482855745,OPTIMAL
pglib_opf_case200_activ__sad,27556.73847,0.338949585,OPTIMAL
pglib_opf_case240_pserc__sad,3.26E+06,0.846061646,OPTIMAL
pglib_opf_case300_ieee__sad,552473.1416,1.395540705,OPTIMAL
pglib_opf_case500_goc__sad,455966.2566,1.424345151,OPTIMAL
pglib_opf_case588_sdet__sad,309789.4213,1.454764912,OPTIMAL
pglib_opf_case793_goc__sad,268008.7537,2.396523024,OPTIMAL
pglib_opf_case1354_pegase__sad,1.24E+06,4.614890167,OPTIMAL
pglib_opf_case1888_rte__sad,1.37E+06,4.594438896,OPTIMAL
pglib_opf_case1951_rte__sad,2.08E+06,7.30801523,OPTIMAL
pglib_opf_case2000_goc__sad,979500.6876,17.12536504,LOCALLY_SOLVED
pglib_opf_case2312_goc__sad,446678.8661,9.829596782,OPTIMAL
pglib_opf_case2383wp_k__sad,1.87E+06,6.142497424,OPTIMAL
pglib_opf_case2736sp_k__sad,1.31E+06,6.295605298,OPTIMAL
pglib_opf_case2737sop_k__sad,777569.2409,6.475502394,OPTIMAL
pglib_opf_case2742_goc__sad,272028.9346,13.00355512,OPTIMAL
pglib_opf_case2746wop_k__sad,1.21E+06,6.183870973,OPTIMAL
pglib_opf_case2746wp_k__sad,1.64E+06,6.088042284,OPTIMAL
pglib_opf_case2848_rte__sad,1.29E+06,10.12084926,OPTIMAL
pglib_opf_case2853_sdet__sad,2.04E+06,10.11956896,OPTIMAL
pglib_opf_case2868_rte__sad,2.01E+06,10.7449574,OPTIMAL
pglib_opf_case2869_pegase__sad,2.44E+06,12.38150035,OPTIMAL
pglib_opf_case3_lmbd__api,10727.2419,0.006340076,OPTIMAL
pglib_opf_case5_pjm__api,73255.45889,0.00679213,OPTIMAL
pglib_opf_case14_ieee__api,5691.798886,0.01890525,OPTIMAL
pglib_opf_case24_ieee_rts__api,120070.4528,0.264451652,LOCALLY_SOLVED
pglib_opf_case30_as__api,2767.848903,0.049213065,OPTIMAL
pglib_opf_case30_ieee__api,17060.27591,0.040185298,OPTIMAL
pglib_opf_case39_epri__api,245448.805,0.057551702,OPTIMAL
pglib_opf_case57_ieee__api,49251.13083,0.086943733,OPTIMAL
pglib_opf_case73_ieee_rts__api,382382.1335,0.655662842,OPTIMAL
pglib_opf_case89_pegase__api,100153.0891,0.565361946,OPTIMAL
pglib_opf_case118_ieee__api,170502.6868,0.282618309,OPTIMAL
pglib_opf_case162_ieee_dtc__api,115761.3428,0.674196489,OPTIMAL
pglib_opf_case179_goc__api,1.82E+06,0.51340416,OPTIMAL
pglib_opf_case200_activ__api,35693.80868,0.354108156,OPTIMAL
pglib_opf_case240_pserc__api,4.61E+06,0.834770872,OPTIMAL
pglib_opf_case300_ieee__api,679379.3273,0.767651603,OPTIMAL
pglib_opf_case500_goc__api,668613.9141,1.321504997,OPTIMAL
pglib_opf_case588_sdet__api,389283.3237,1.387900625,OPTIMAL
pglib_opf_case793_goc__api,276798.319,1.562394845,OPTIMAL
pglib_opf_case1354_pegase__api,1.49E+06,3.531441106,OPTIMAL
pglib_opf_case1888_rte__api,1.95E+06,6.327887277,OPTIMAL
pglib_opf_case1951_rte__api,2.40E+06,7.836842801,OPTIMAL
pglib_opf_case2000_goc__api,1.44E+06,8.694298353,OPTIMAL
pglib_opf_case2312_goc__api,496817.4158,7.395383599,OPTIMAL
pglib_opf_case2383wp_k__api,279125.825,2.987711114,OPTIMAL
pglib_opf_case2736sp_k__api,583139.1501,6.829026178,OPTIMAL
pglib_opf_case2737sop_k__api,345567.795,3.394765559,OPTIMAL
pglib_opf_case2742_goc__api,485512.6515,12.89197956,OPTIMAL
pglib_opf_case2746wop_k__api,511658.625,3.362913436,OPTIMAL
pglib_opf_case2746wp_k__api,581825.0551,4.395987683,OPTIMAL
