Instance,Objective_value,Run_time,Solution_status
pglib_opf_case2848_rte__api,1.49E+06,8.734514619,OPTIMAL
pglib_opf_case2853_sdet__api,2.41E+06,10.05523777,OPTIMAL
pglib_opf_case2868_rte__api,2.29E+06,10.92839835,OPTIMAL
pglib_opf_case2869_pegase__api,2.90E+06,11.5807593,OPTIMAL
pglib_opf_case3_lmbd,5756.463314,0.004680377,OPTIMAL
pglib_opf_case5_pjm,14999.78751,0.007037471,OPTIMAL
pglib_opf_case14_ieee,2175.704633,0.019153872,OPTIMAL
pglib_opf_case24_ieee_rts,63344.57862,0.048913792,OPTIMAL
pglib_opf_case30_as,802.6802068,0.042164746,OPTIMAL
pglib_opf_case30_ieee,6676.242385,0.047253152,OPTIMAL
pglib_opf_case39_epri,137664.0244,0.055844898,OPTIMAL
pglib_opf_case57_ieee,37529.72,0.091382849,OPTIMAL
pglib_opf_case73_ieee_rts,189706.1769,0.180983986,OPTIMAL
pglib_opf_case89_pegase,106484.7891,0.583700326,OPTIMAL
pglib_opf_case118_ieee,96464.52644,0.266373695,OPTIMAL
pglib_opf_case162_ieee_dtc,101769.1945,0.647651662,OPTIMAL
pglib_opf_case179_goc,753126.7575,0.35047683,OPTIMAL
pglib_opf_case200_activ,27556.6494,0.353143651,OPTIMAL
pglib_opf_case240_pserc,3.24E+06,1.102961009,OPTIMAL
pglib_opf_case300_ieee,550776.1903,1.222941548,OPTIMAL
pglib_opf_case500_goc,453851.9773,1.094891156,OPTIMAL
pglib_opf_case588_sdet,307168.1055,1.512001123,OPTIMAL
pglib_opf_case793_goc,256771.9042,2.441025225,OPTIMAL
pglib_opf_case1354_pegase,1.24E+06,7.158730144,OPTIMAL
pglib_opf_case1888_rte,1.37E+06,5.668554815,OPTIMAL
pglib_opf_case1951_rte,2.08E+06,8.862001481,OPTIMAL
pglib_opf_case2000_goc,970466.8161,11.1642639,OPTIMAL
pglib_opf_case2312_goc,432988.6865,8.185038957,OPTIMAL
pglib_opf_case2383wp_k,1.85E+06,9.152002756,OPTIMAL
pglib_opf_case2736sp_k,1.30E+06,7.316262178,OPTIMAL
pglib_opf_case2737sop_k,775720.0463,10.50093137,OPTIMAL
pglib_opf_case2742_goc,272056.5403,18.94279973,OPTIMAL
pglib_opf_case2746wop_k,1.20E+06,7.416538336,OPTIMAL
pglib_opf_case2746wp_k,1.63E+06,11.93198257,OPTIMAL
pglib_opf_case2848_rte,1.29E+06,8.427935574,OPTIMAL
pglib_opf_case2853_sdet,2.03E+06,11.38837656,OPTIMAL
pglib_opf_case2868_rte,2.01E+06,10.49127808,OPTIMAL
pglib_opf_case2869_pegase,2.44E+06,17.84269619,OPTIMAL
