Instance,Objective_value,Run_time,Solution_status,Opt_gap,num_off_lines,off_lines,num_off_lines_leaf,off_lines_leaf,inst_ind
pglib_opf_case240_pserc__api,4610000,3067.523531,OPTIMAL,0.01%,9,"Any[(129, 149), (13, 77), (209, 211), (216, 217), (77, 78), (34, 77), (127, 129), (56, 71), (113, 120)]",0,Any[],39
pglib_opf_case300_ieee__api,679387.46,1168.646003,OPTIMAL,0.01%,8,"Any[(251, 106), (296, 298), (183, 184), (36, 38), (28, 30), (36, 77), (295, 7), (183, 187)]",0,Any[],40
pglib_opf_case3_lmbd,5756.46,0.009874688,OPTIMAL,0.00%,0,Any[],0,Any[],49
pglib_opf_case5_pjm,14999.79,0.035376737,OPTIMAL,0.01%,0,Any[],0,Any[],50
pglib_opf_case14_ieee,2175.7,0.240303318,OPTIMAL,0.01%,0,Any[],0,Any[],51
pglib_opf_case24_ieee_rts,63344.58,1.499247474,OPTIMAL,0.01%,0,Any[],0,Any[],52
pglib_opf_case30_as,802.68,3.091804094,OPTIMAL,0.01%,0,Any[],0,Any[],53
pglib_opf_case30_ieee,6676.24,0.630261354,OPTIMAL,0.01%,0,Any[],0,Any[],54
pglib_opf_case39_epri,137664.02,0.417954905,OPTIMAL,0.01%,0,Any[],0,Any[],55
pglib_opf_case57_ieee,37529.65,3.091487279,OPTIMAL,0.01%,1,"Any[(57, 56)]",0,Any[],56
pglib_opf_case73_ieee_rts,189706.14,19.5800992,OPTIMAL,0.01%,0,Any[],0,Any[],57
pglib_opf_case89_pegase,106477.61,2532.795233,OPTIMAL,0.01%,24,"Any[(66, 47), (63, 30), (36, 35), (21, 30), (35, 30), (41, 30), (63, 19), (70, 61), (38, 19), (35, 61), (35, 74), (36, 30), (35, 19), (23, 61), (18, 57), (74, 30), (41, 74), (23, 19), (36, 63), (35, 28), (36, 41), (28, 61), (36, 23), (36, 61)]",0,Any[],58
pglib_opf_case118_ieee,96423.94216,50.99852655,OPTIMAL,9.61E-05,3,"Any[(47, 49), (27, 32), (49, 69)]",0,Any[],59
pglib_opf_case162_ieee_dtc,101739.9307,7200.176687,TIME_LIMIT,0.000101528,9,"Any[(126, 127), (27, 127), (125, 126), (27, 125), (60, 62), (8, 13), (65, 126), (60, 126), (30, 32)]",0,Any[],60
pglib_opf_case179_goc,753130.5104,10.22601904,OPTIMAL,8.15E-05,0,Any[],0,Any[],61
pglib_opf_case200_activ,27556.59492,183.3709027,OPTIMAL,2.79E-05,3,"Any[(27, 93), (27, 158), (101, 141)]",0,Any[],62
pglib_opf_case240_pserc,3.24E+06,2546.699823,OPTIMAL,9.28E-05,9,"Any[(130, 131), (34, 77), (127, 129), (172, 173), (129, 235), (137, 150), (178, 183), (113, 127), (234, 235)]",0,Any[],63
pglib_opf_case300_ieee,550317.9214,7200.150462,TIME_LIMIT,0.012252133,8,"Any[(39, 77), (183, 184), (53, 54), (144, 148), (220, 197), (173, 220), (34, 39), (157, 146)]",0,Any[],64
,,,,,,,,,
pglib_opf_case500_goc__sad,455966.22,376.1306162,OPTIMAL,0.00%,0,Any[],0,Any[],15
pglib_opf_case588_sdet__sad,309538.75,10800.37976,TIME_LIMIT,0.60%,17,"Any[(146, 147), (445, 468), (116, 119), (128, 129), (47, 58), (393, 416), (446, 468), (565, 577), (581, 543), (112, 123), (66, 75), (39, 40), (502, 523), (163, 176), (319, 329), (148, 177), (63, 64)]",0,Any[],16
pglib_opf_case793_goc__sad,267942.02,10800.31709,TIME_LIMIT,1.44%,28,"Any[(117, 118), (554, 555), (438, 470), (722, 738), (687, 688), (743, 744), (146, 147), (580, 582), (619, 643), (788, 714), (502, 503), (340, 341), (299, 354), (745, 746), (759, 776), (148, 149), (119, 120), (352, 353), (176, 177), (659, 693), (467, 477), (627, 628), (372, 378), (785, 789), (601, 654), (329, 347), (194, 275), (27, 50)]",0,Any[],17
pglib_opf_case1354_pegase__sad,1239689.53,10800.6693,TIME_LIMIT,0.08%,0,Any[],0,Any[],18
pglib_opf_case1888_rte__sad,NaN,10800.52975,TIME_LIMIT, , , , , ,19
pglib_opf_case1951_rte__sad,NaN,10800.7456,TIME_LIMIT, , , , , ,20
pglib_opf_case2000_goc__sad,NaN,2408.351684,INFEASIBLE_OR_UNBOUNDED, , , , , ,21
pglib_opf_case2312_goc__sad,NaN,2088.004558,INFEASIBLE_OR_UNBOUNDED, , , , , ,22
pglib_opf_case500_goc__api,668613.95,8774.68994,OPTIMAL,0.00%,0,Any[],0,Any[],39
