Juniper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case3_lmbd__sad,3,3,5959.312943,0.02,LOCALLY_SOLVED,FEASIBLE_POINT,0,0,Any[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case5_pjm__sad,5,6,26108.84228,1.4,LOCALLY_SOLVED,FEASIBLE_POINT,0,0,Any[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case14_ieee__sad,14,20,2727.522266,7.85,LOCALLY_SOLVED,FEASIBLE_POINT,0,0,Any[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case24_ieee_rts__sad,24,38,75793.96017,46.1,LOCALLY_SOLVED,FEASIBLE_POINT,0,3,"Any[(2, 4), (3, 9), (5, 10)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case30_as__sad,30,41,893.9284778,73.75,LOCALLY_SOLVED,FEASIBLE_POINT,0,0,Any[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case30_ieee__sad,30,41,8188.571721,26.67,LOCALLY_SOLVED,FEASIBLE_POINT,0,1,"Any[(9, 10)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case39_epri__sad,39,46,147472.8477,75.2,LOCALLY_SOLVED,FEASIBLE_POINT,0,4,"Any[(14, 15), (3, 4), (12, 11), (17, 18)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case57_ieee__sad,57,80,38597.75158,390.83,LOCALLY_SOLVED,FEASIBLE_POINT,0,4,"Any[(22, 38), (4, 6), (9, 12), (3, 15)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case73_ieee_rts__sad,73,120,221416.6702,1051.57,LOCALLY_SOLVED,FEASIBLE_POINT,0,7,"Any[(23, 41), (39, 40), (25, 26), (5, 10), (3, 9), (40, 43), (8, 9)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case89_pegase__sad,89,210,NaN,7203.5,TIME_LIMIT,INFEASIBLE_POINT, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case118_ieee__sad,118,186,97572.52008,628.53,LOCALLY_SOLVED,FEASIBLE_POINT,0,11,"Any[(50, 57), (49, 54), (18, 19), (41, 42), (27, 32), (40, 42), (35, 36), (51, 52), (51, 58), (64, 61), (66, 67)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case162_ieee_dtc__sad,162,284,NaN,7202.17,TIME_LIMIT,INFEASIBLE_POINT, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pglib_opf_case179_goc__sad,179,263,NaN,7202.64,TIME_LIMIT,INFEASIBLE_POINT, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
